Subject	Consent	Sex
HG00112	1	male
HG00117	1	male
HG00129	1	male
HG00131	1	male
HG00136	1	male
HG00143	1	male
HG00148	1	male
HG00150	1	female
HG00155	1	male
HG00097	1	female
HG00100	1	female
HG00105	1	male
HG00554	1	female
HG00109	1	male
HG00559	1	male
HG00111	1	female
HG00116	1	male
HG00566	1	female
HG00123	1	female
HG00128	1	female
HG00580	1	male
HG00130	1	female
HG00159	1	male
HG00357	1	female
HG00173	1	female
HG00364	1	female
HG00178	1	female
HG00369	1	male
HG00180	1	female
HG00371	1	male
HG00185	1	male
HG00376	1	female
HG00231	1	female
HG00383	1	female
HG00236	1	female
HG00403	1	male
HG00243	1	male
HG00174	1	female
HG00179	1	female
HG00250	1	female
HG00181	1	male
HG00255	1	female
HG00186	1	male
HG00262	1	female
HG00232	1	female
HG00446	1	female
HG00142	1	male
HG00458	1	female
HG00154	1	female
HG00096	1	male
HG00472	1	male
HG00237	1	female
HG00244	1	male
HG00251	1	male
HG00553	1	male
HG00256	1	male
HG00263	1	female
HG00560	1	female
HG00565	1	male
HG00410	1	female
HG00422	1	female
HG00584	1	female
HG00589	1	male
HG00319	1	female
HG00321	1	male
HG00313	1	female
HG00326	1	female
HG00318	1	female
HG00338	1	male
HG00320	1	female
HG00345	1	male
HG00325	1	male
HG00530	1	male
HG00332	1	female
HG00337	1	female
HG00542	1	male
HG00344	1	female
HG00268	1	female
HG00349	1	female
HG00351	1	male
HG00275	1	female
HG00445	1	male
HG00282	1	female
HG00452	1	female
HG00457	1	male
HG00693	1	female
HG00464	1	female
HG00698	1	male
HG00476	1	female
HG00701	1	male
HG00407	1	female
HG00419	1	female
HG00421	1	male
HG00732	1	female
HG00737	1	female
HG00623	1	female
HG00650	1	male
HG00628	1	male
HG00662	1	male
HG00674	1	male
HG00596	1	female
HG01069	1	male
HG00611	1	female
HG01083	1	female
HG00267	1	male
HG01088	1	male
HG00274	1	female
HG00281	1	female
HG00306	1	female
HG00629	1	female
HG00356	1	female
HG00631	1	male
HG00368	1	female
HG00375	1	male
HG01095	1	female
HG00382	1	male
HG00534	1	female
HG01108	1	female
HG00729	1	female
HG01110	1	male
HG00731	1	male
HG00592	1	male
HG00736	1	male
HG00743	1	female
HG01119	1	female
HG01052	1	female
HG01121	1	male
HG01064	1	female
HG00864	1	female
HG01133	1	male
HG01140	1	female
HG01191	1	female
HG01204	1	male
HG00654	1	female
HG01242	1	female
HG01348	1	female
HG01350	1	male
HG01070	1	female
HG01362	1	male
HG01075	1	male
HG01082	1	male
HG01247	1	male
HG01254	1	female
HG00692	1	male
HG01259	1	male
HG00705	1	female
HG00717	1	female
HG01049	1	female
HG01280	1	male
HG01051	1	male
HG01305	1	male
HG01398	1	male
HG01063	1	male
HG01413	1	male
HG01094	1	male
HG01432	1	female
HG01437	1	male
HG01102	1	female
HG01374	1	male
HG01107	1	male
HG01164	1	male
HG01393	1	female
HG01171	1	female
HG01176	1	male
HG01177	1	female
HG00844	1	male
HG01122	1	female
HG00851	1	female
HG01134	1	female
HG01139	1	male
HG01183	1	female
HG01312	1	female
HG01188	1	female
HG01190	1	male
HG01241	1	male
HG01311	1	male
HG01571	1	male
HG01323	1	female
HG01583	1	male
HG01342	1	female
HG01595	1	female
HG01378	1	female
HG01603	1	male
HG01608	1	male
HG01392	1	male
HG01610	1	male
HG01615	1	male
HG01354	1	female
HG01359	1	male
HG01366	1	female
HG01494	1	male
HG01253	1	male
HG01519	1	female
HG01260	1	female
HG01521	1	male
HG01272	1	female
HG01443	1	male
HG01455	1	male
HG01507	1	female
HG01462	1	female
HG01405	1	male
HG01444	1	female
HG01412	1	male
HG01456	1	female
HG01431	1	male
HG01474	1	female
HG01468	1	female
HG01479	1	male
HG01867	1	male
HG01277	1	male
HG01874	1	female
HG01284	1	female
HG01879	1	male
HG01518	1	male
HG01709	1	male
HG01525	1	female
HG01747	1	male
HG01537	1	female
HG01761	1	male
HG01812	1	female
HG01599	1	female
HG01817	1	female
HG01602	1	female
HG01843	1	female
HG01607	1	female
HG01848	1	female
HG01672	1	male
HG01619	1	male
HG01684	1	female
HG01626	1	female
HG01669	1	male
HG01785	1	male
HG01486	1	female
HG01704	1	female
HG01498	1	female
HG01766	1	female
HG01501	1	female
HG01773	1	female
HG01506	1	male
HG01850	1	female
HG01513	1	female
HG01855	1	female
HG01862	1	female
HG01676	1	female
HG01797	1	female
HG01800	1	female
HG01551	1	female
HG01805	1	female
HG01556	1	male
HG02017	1	male
HG01695	1	female
HG02029	1	male
HG01866	1	male
HG02031	1	female
HG01873	1	male
HG01886	1	female
HG01878	1	female
HG01893	1	female
HG01880	1	female
HG01885	1	male
HG01892	1	male
HG01951	1	female
HG01956	1	female
HG01912	1	male
HG02048	1	female
HG01917	1	male
HG02050	1	male
HG01924	1	female
HG01784	1	female
HG01918	1	female
HG01789	1	male
HG01920	1	male
HG01791	1	male
HG01811	1	male
HG01968	1	female
HG01816	1	male
HG01970	1	male
HG01842	1	male
HG01847	1	female
HG01932	1	male
HG01765	1	male
HG01944	1	male
HG01777	1	male
HG01982	1	male
HG01708	1	male
HG01710	1	female
HG02012	1	female
HG01746	1	female
HG02233	1	male
HG01796	1	female
HG02238	1	male
HG01804	1	female
HG01809	1	female
HG02252	1	female
HG01859	1	female
HG01861	1	male
HG02113	1	female
HG02144	1	female
HG02009	1	male
HG02151	1	female
HG02156	1	female
HG02016	1	female
HG02187	1	female
HG02219	1	male
HG01986	1	male
HG02221	1	male
HG02035	1	male
HG02271	1	male
HG02047	1	male
HG02079	1	male
HG02054	1	female
HG02081	1	female
HG01967	1	male
HG02086	1	female
HG01974	1	male
HG02067	1	male
HG01979	1	male
HG01948	1	female
HG01950	1	male
HG02137	1	male
HG02078	1	female
HG02182	1	female
HG02085	1	male
HG02023	1	male
HG02028	1	female
HG02485	1	female
HG02442	1	male
HG02061	1	male
HG02461	1	male
HG02073	1	male
HG01936	1	female
HG02315	1	female
HG02322	1	female
HG02143	1	male
HG02334	1	male
HG02339	1	female
HG02150	1	male
HG02155	1	female
HG02308	1	female
HG02299	1	male
HG02283	1	male
HG02307	1	male
HG02314	1	male
HG02275	1	female
HG02282	1	female
HG02384	1	male
HG02353	1	male
HG02131	1	male
HG02360	1	male
HG02136	1	female
HG02409	1	male
HG02220	1	female
HG02389	1	male
HG02391	1	male
HG02232	1	female
HG02396	1	male
HG02687	1	male
HG02179	1	female
HG02694	1	female
HG02181	1	female
HG02699	1	male
HG02186	1	female
HG02702	1	male
HG02105	1	female
HG02497	1	female
HG02256	1	female
HG02505	1	female
HG02408	1	male
HG02512	1	male
HG02410	1	male
HG02427	1	female
HG02574	1	female
HG02439	1	male
HG02484	1	male
HG02675	1	male
HG02489	1	male
HG02682	1	female
HG02491	1	female
HG02536	1	male
HG02496	1	male
HG02555	1	female
HG02562	1	female
HG02554	1	male
HG02586	1	female
HG02601	1	female
HG02561	1	male
HG02613	1	male
HG02345	1	female
HG02620	1	male
HG02364	1	male
HG02371	1	male
HG02511	1	female
HG02649	1	female
HG02651	1	male
HG02465	1	female
HG02477	1	female
HG02769	1	female
HG02383	1	male
HG02771	1	male
HG02390	1	male
HG02783	1	male
HG02395	1	male
HG02891	1	female
HG02667	1	female
HG02896	1	female
HG02679	1	female
HG02923	1	male
HG02681	1	male
HG02733	1	male
HG02629	1	female
HG02757	1	female
HG02643	1	female
HG02648	1	male
HG02585	1	male
HG02790	1	female
HG02597	1	male
HG02839	1	male
HG02600	1	male
HG02860	1	male
HG02624	1	female
HG02721	1	male
HG02737	1	female
HG02756	1	male
HG02808	1	female
HG02763	1	female
HG02810	1	male
HG02655	1	female
HG02947	1	male
HG02573	1	male
HG02580	1	female
HG02884	1	male
HG03027	1	male
HG02725	1	female
HG03039	1	male
HG02977	1	male
HG03046	1	female
HG03091	1	female
HG03007	1	female
HG03096	1	male
HG02888	1	female
HG02890	1	male
HG03109	1	male
HG02895	1	male
HG03123	1	female
HG02922	1	female
HG03130	1	male
HG02941	1	male
HG03135	1	female
HG02787	1	female
HG03058	1	female
HG02799	1	female
HG03060	1	male
HG02840	1	female
HG03015	1	male
HG02852	1	female
HG03022	1	female
HG02768	1	male
HG03159	1	female
HG02775	1	female
HG03166	1	male
HG03019	1	female
HG02973	1	male
HG03021	1	male
HG02807	1	male
HG03111	1	female
HG02814	1	female
HG02819	1	male
HG03072	1	male
HG02946	1	female
HG03077	1	male
HG02953	1	male
HG03084	1	male
HG03212	1	female
HG03224	1	male
HG03229	1	female
HG03209	1	male
