Subject	Sample
HG00310	HG00310
NA18557	NA18557
HG00189	HG00189
NA20278	NA20278
HG03074	HG03074
HG01515	HG01515
NA18966	NA18966
HG01395	HG01395
HG01522	HG01522
HG01384	HG01384
NA18537	NA18537
HG03259	HG03259
HG02860	HG02860
NA19197	NA19197
HG01985	HG01985
HG03238	HG03238
NA19452	NA19452
HG02012	HG02012
HG00127	HG00127
HG01092	HG01092
NA19004	NA19004
NA18566	NA18566
HG00174	HG00174
HG00343	HG00343
NA20809	NA20809
HG00263	HG00263
HG01075	HG01075
HG00864	HG00864
HG02165	HG02165
HG02389	HG02389
HG01489	HG01489
NA12156	NA12156
NA19248	NA19248
HG03499	HG03499
NA18574	NA18574
HG03063	HG03063
HG03294	HG03294
HG02186	HG02186
HG00690	HG00690
HG03139	HG03139
NA20342	NA20342
NA20298	NA20298
NA19707	NA19707
HG02970	HG02970
NA19062	NA19062
HG03118	HG03118
HG00258	HG00258
NA19257	NA19257
HG02759	HG02759
NA07347	NA07347
NA19355	NA19355
HG01462	HG01462
NA19401	NA19401
HG01670	HG01670
HG00105	HG00105
NA20769	NA20769
NA19129	NA19129
HG01912	HG01912
NA18499	NA18499
NA19098	NA19098
HG01177	HG01177
HG02449	HG02449
NA18871	NA18871
HG00379	HG00379
NA18757	NA18757
HG00596	HG00596
HG03057	HG03057
HG00178	HG00178
NA18510	NA18510
NA11992	NA11992
NA20818	NA20818
HG03304	HG03304
HG01357	HG01357
HG01509	HG01509
HG03558	HG03558
HG00139	HG00139
HG02804	HG02804
HG01620	HG01620
HG00109	HG00109
NA19474	NA19474
HG01676	HG01676
HG01816	HG01816
NA20760	NA20760
HG00096	HG00096
HG01506	HG01506
HG00324	HG00324
HG00280	HG00280
HG03109	HG03109
NA19439	NA19439
HG01863	HG01863
NA18969	NA18969
HG01694	HG01694
HG00766	HG00766
HG01885	HG01885
NA19011	NA19011
NA19009	NA19009
NA19038	NA19038
HG02401	HG02401
HG00736	HG00736
NA20509	NA20509
HG00155	HG00155
NA18489	NA18489
NA18593	NA18593
HG01378	HG01378
HG01852	HG01852
HG02667	HG02667
NA20828	NA20828
NA19922	NA19922
NA19099	NA19099
NA19092	NA19092
HG02113	HG02113
NA20759	NA20759
HG01121	HG01121
HG02230	HG02230
HG00653	HG00653
NA20753	NA20753
HG02073	HG02073
NA19334	NA19334
HG00117	HG00117
NA20798	NA20798
HG02322	HG02322
NA19026	NA19026
HG02621	HG02621
NA12889	NA12889
HG03045	HG03045
HG01405	HG01405
NA19312	NA19312
HG02643	HG02643
NA18961	NA18961
HG00236	HG00236
HG02574	HG02574
HG01259	HG01259
HG00708	HG00708
NA20524	NA20524
HG02053	HG02053
HG01089	HG01089
NA12815	NA12815
NA19210	NA19210
NA19024	NA19024
NA19235	NA19235
HG01775	HG01775
HG00325	HG00325
NA18632	NA18632
HG01868	HG01868
HG01326	HG01326
HG02772	HG02772
NA20515	NA20515
HG02734	HG02734
NA18526	NA18526
NA19457	NA19457
NA20862	NA20862
NA20772	NA20772
HG01048	HG01048
HG02256	HG02256
NA19435	NA19435
NA18611	NA18611
NA07048	NA07048
HG00275	HG00275
HG01602	HG01602
HG00410	HG00410
HG00404	HG00404
HG01705	HG01705
NA11930	NA11930
HG02035	HG02035
NA20535	NA20535
HG03382	HG03382
HG00629	HG00629
NA18978	NA18978
HG00475	HG00475
HG03539	HG03539
NA20805	NA20805
HG01598	HG01598
HG03457	HG03457
HG02493	HG02493
NA19319	NA19319
NA07000	NA07000
NA21108	NA21108
HG01678	HG01678
HG00366	HG00366
NA18953	NA18953
HG01862	HG01862
HG00123	HG00123
NA19372	NA19372
HG02545	HG02545
NA19908	NA19908
HG01632	HG01632
HG01550	HG01550
NA18916	NA18916
HG01107	HG01107
HG03193	HG03193
NA20506	NA20506
HG00271	HG00271
HG01771	HG01771
HG02597	HG02597
HG00557	HG00557
HG01440	HG01440
HG03563	HG03563
HG03081	HG03081
HG00537	HG00537
HG01060	HG01060
HG00330	HG00330
HG00458	HG00458
HG00150	HG00150
NA18634	NA18634
HG01108	HG01108
NA20530	NA20530
NA19035	NA19035
HG02057	HG02057
HG01365	HG01365
HG01861	HG01861
HG02979	HG02979
HG01097	HG01097
HG01137	HG01137
HG02561	HG02561
HG03024	HG03024
HG00311	HG00311
HG01498	HG01498
HG03473	HG03473
HG00671	HG00671
HG01474	HG01474
NA18620	NA18620
