SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
HG00310	peripheral 	blood 	DNA unknown
NA18557	peripheral 	blood 	DNA unknown
HG00189	peripheral 	blood 	DNA unknown
NA20278	peripheral 	blood 	DNA unknown
HG03074	peripheral 	blood 	DNA unknown
HG01515	peripheral 	blood 	DNA unknown
NA18966	peripheral 	blood 	DNA unknown
HG01395	peripheral 	blood 	DNA unknown
HG01522	peripheral 	blood 	DNA unknown
HG01384	peripheral 	blood 	DNA unknown
NA18537	peripheral 	blood 	DNA unknown
HG03259	peripheral 	blood 	DNA unknown
HG02860	peripheral 	blood 	DNA unknown
NA19197	peripheral 	blood 	DNA unknown
HG01985	peripheral 	blood 	DNA unknown
HG03238	peripheral 	blood 	DNA unknown
NA19452	peripheral 	blood 	DNA unknown
HG02012	peripheral 	blood 	DNA unknown
HG00127	peripheral 	blood 	DNA unknown
HG01092	peripheral 	blood 	DNA unknown
NA19004	peripheral 	blood 	DNA unknown
NA18566	peripheral 	blood 	DNA unknown
HG00174	peripheral 	blood 	DNA unknown
HG00343	peripheral 	blood 	DNA unknown
NA20809	peripheral 	blood 	DNA unknown
HG00263	peripheral 	blood 	DNA unknown
HG01075	peripheral 	blood 	DNA unknown
HG00864	peripheral 	blood 	DNA unknown
HG02165	peripheral 	blood 	DNA unknown
HG02389	peripheral 	blood 	DNA unknown
HG01489	peripheral 	blood 	DNA unknown
NA12156	peripheral 	blood 	DNA unknown
NA19248	peripheral 	blood 	DNA unknown
HG03499	peripheral 	blood 	DNA unknown
NA18574	peripheral 	blood 	DNA unknown
HG03063	peripheral 	blood 	DNA unknown
HG03294	peripheral 	blood 	DNA unknown
HG02186	peripheral 	blood 	DNA unknown
HG00690	peripheral 	blood 	DNA unknown
HG03139	peripheral 	blood 	DNA unknown
NA20342	peripheral 	blood 	DNA unknown
NA20298	peripheral 	blood 	DNA unknown
NA19707	peripheral 	blood 	DNA unknown
HG02970	peripheral 	blood 	DNA unknown
NA19062	peripheral 	blood 	DNA unknown
HG03118	peripheral 	blood 	DNA unknown
HG00258	peripheral 	blood 	DNA unknown
NA19257	peripheral 	blood 	DNA unknown
HG02759	peripheral 	blood 	DNA unknown
NA07347	peripheral 	blood 	DNA unknown
NA19355	peripheral 	blood 	DNA unknown
HG01462	peripheral 	blood 	DNA unknown
NA19401	peripheral 	blood 	DNA unknown
HG01670	peripheral 	blood 	DNA unknown
HG00105	peripheral 	blood 	DNA unknown
NA20769	peripheral 	blood 	DNA unknown
NA19129	peripheral 	blood 	DNA unknown
HG01912	peripheral 	blood 	DNA unknown
NA18499	peripheral 	blood 	DNA unknown
NA19098	peripheral 	blood 	DNA unknown
HG01177	peripheral 	blood 	DNA unknown
HG02449	peripheral 	blood 	DNA unknown
NA18871	peripheral 	blood 	DNA unknown
HG00379	peripheral 	blood 	DNA unknown
NA18757	peripheral 	blood 	DNA unknown
HG00596	peripheral 	blood 	DNA unknown
HG03057	peripheral 	blood 	DNA unknown
HG00178	peripheral 	blood 	DNA unknown
NA18510	peripheral 	blood 	DNA unknown
NA11992	peripheral 	blood 	DNA unknown
NA20818	peripheral 	blood 	DNA unknown
HG03304	peripheral 	blood 	DNA unknown
HG01357	peripheral 	blood 	DNA unknown
HG01509	peripheral 	blood 	DNA unknown
HG03558	peripheral 	blood 	DNA unknown
HG00139	peripheral 	blood 	DNA unknown
HG02804	peripheral 	blood 	DNA unknown
HG01620	peripheral 	blood 	DNA unknown
HG00109	peripheral 	blood 	DNA unknown
NA19474	peripheral 	blood 	DNA unknown
HG01676	peripheral 	blood 	DNA unknown
HG01816	peripheral 	blood 	DNA unknown
NA20760	peripheral 	blood 	DNA unknown
HG00096	peripheral 	blood 	DNA unknown
HG01506	peripheral 	blood 	DNA unknown
HG00324	peripheral 	blood 	DNA unknown
HG00280	peripheral 	blood 	DNA unknown
HG03109	peripheral 	blood 	DNA unknown
NA19439	peripheral 	blood 	DNA unknown
HG01863	peripheral 	blood 	DNA unknown
NA18969	peripheral 	blood 	DNA unknown
HG01694	peripheral 	blood 	DNA unknown
HG00766	peripheral 	blood 	DNA unknown
HG01885	peripheral 	blood 	DNA unknown
NA19011	peripheral 	blood 	DNA unknown
NA19009	peripheral 	blood 	DNA unknown
NA19038	peripheral 	blood 	DNA unknown
HG02401	peripheral 	blood 	DNA unknown
HG00736	peripheral 	blood 	DNA unknown
NA20509	peripheral 	blood 	DNA unknown
